ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000850401-25-000016	194515	0000850401	028-02494			TCW GROUP INC
0001172661-25-001609	194512	0000036644	028-00317			FIRST NATIONAL BANK OF OMAHA
0001172661-25-001609	194511	0001441888	028-13245	000112528	801-60282	Tributary Capital Management, LLC
0000850401-25-000015	194519	0000850401	028-02494			TCW GROUP INC
0000850401-25-000014	194522	0000850401	028-02494			TCW GROUP INC
0001674020-25-000004	194575			000158282	801-72499	Advisory Alpha
0001765380-25-000188	194539	0001743404	028-18893	000175083	801-100512	FOUNDATIONS INVESTMENT ADVISORS, LLC
0001398344-25-008895	194573	0001638081	028-19400			RWC ASSET ADVISORS (US) LLC
0001705819-25-000034	194480	0001731221	028-18565	000104513	801-18801	FSA WEALTH PARTNERS, INC.
0001398344-25-008888	194523	0001638081	028-19400	000166517	801-77698	RWC ASSET ADVISORS (US) LLC
0001398344-25-008888	194524	0001520478	028-14481	000168656	801-78533	RWC Asset Management LLP
0000924166-25-000006	194562		028-22712			Valley National Bank
0001214659-25-007070	194518	0000919489	028-04174			ALLEN HOLDING INC /NY
0001214659-25-007069	194479	0001389544	028-12302			ALLEN OPERATIONS LLC
0001214659-25-007067	194481	0001326234	028-11378			Allen Investment Management, LLC
0001140361-25-017634	194561	0001000275	028-11396			Royal Bank of Canada
0001214659-25-007057	194525	0001452208	028-14121			CACTI ASSET MANAGEMENT LLC
0000950123-25-004204	194517		28-11527			The Toronto-Dominion Bank
0000950123-25-004204	194516		28-05987			TD Asset Management, Inc.
0000950123-25-004199	194534		28-11527			The Toronto-Dominion Bank
0001172661-25-001591	194484	0001599584	028-15771	000141413	801-68010	Brookstone Capital Management
0001688666-25-000003	194557	0000313028	028-01006	000105519	801-31237	BARROW HANLEY MEWHINNEY & STRAUSS LLC
0001688666-25-000003	194556	0001686988	028-19942	000172688	801-107084	L2 Asset Management, LLC
0001688666-25-000003	194554	0001633911	028-16565	000173198	801-80368	Aristotle Capital Boston, LLC
0001688666-25-000003	194553	0001126328	028-10106	000109002	801-55959	PRINCIPAL FINANCIAL GROUP INC
0001688666-25-000003	194555	0001165830	028-10329	000106863	801-29482	INCOME RESEARCH & MANAGEMENT
0001775903-25-000005	194407	0001291318	028-22953			OVERSEA-CHINESE BANKING Corp Ltd
0001775903-25-000004	194444	0001291318	028-22953			OVERSEA-CHINESE BANKING Corp Ltd
0000950123-25-004188	194471					Syncona Limited
0000950123-25-004190	194452					Syncona Holdings Limited
0000950123-25-004190	194453					Syncona Limited
0000950123-25-004191	194385					Syncona Portfolio Limited
0000950123-25-004191	194386					Syncona Limited
0000950123-25-004191	194387					Syncona Investment Management Limited
0000950123-25-004189	194403					Syncona Portfolio Limited 
0000950123-25-004189	194404					Syncona Holdings Limited 
0000950123-25-004189	194405					Syncona Investment Management Limited 
0000950123-25-004188	194470					Syncona Holdings Limited
0000950123-25-004188	194469					Syncona Portfolio Limited
0000950123-25-004190	194454					Syncona Investment Management Limited
0001178913-25-001629	194442	0001679543	028-18650			Phoenix Financial Ltd.
0001178913-25-001627	194437	0001679543	028-18650			Phoenix Financial Ltd.
0001345717-25-000001	194409	0001088875	028-04825			BAILLIE GIFFORD & CO
0001772373-25-000001	194408	0001088875	028-04825			BAILLIE GIFFORD & CO
0001085972-25-000001	194388	0001088875	028-04825			BAILLIE GIFFORD & CO
0001088876-25-000001	194445		028-04825			BAILLIE GIFFORD & CO
0002056307-25-000006	194434	0002057170	028-25425			Universal- Beteiligungs- und Servicegesellschaft mbH
0002056307-25-000005	194447	0002057170	028-25425			Universal- Beteiligungs- und Servicegesellschaft mbH
0002056307-25-000004	194455	0002057170	028-25425			Universal- Beteiligungs- und Servicegesellschaft mbH
0001754960-25-000281	194473	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001754960-25-000281	194472	0001761755	028-19141			TOWNSQUARE CAPITAL LLC
0001591587-25-000006	194451	0001535865	028-14921	000143593	801-67829	Atria Investments, Inc
0001591587-25-000006	194450	0001344551	028-11546	000109018	801-56323	ASSETMARK, INC
0000950123-25-004112	194464			000110391	801-6997	Lord, Abbett & Co. LLC
0000950123-25-004112	194465			000110045	801-17352	Massachusetts Financial Services Company
0000950123-25-004112	194466			000106631	811-07513	Putnam Investment Management, LLC
0000950123-25-004112	194467			000299812	802-114915	Schroder Investment Management North America Inc.
0000950123-25-004112	194468			000106595	801-15908	Wellington Management Company, LLP
0000950123-25-004112	194463			000107038	801-21011	J.P. Morgan Investment Management, Inc.
0000950123-25-004112	194461			000282125	801-107234	HPS Investment Partners, LLC
0000950123-25-004112	194462			000104652	801-13991	Janus Henderson Investors US LLC
0000950123-25-004112	194456			000108477	801-56720	AllianceBernstein L.P.
0000950123-25-004112	194457			000104973	801-21122	Allspring Global Investments, LLC
0000950123-25-004112	194460			000133196	801-63658	FIAM LLC
0000950123-25-004112	194459			000137028	801-64710	Clearbridge Invesmtents, LLC
0000950123-25-004112	194458			000124982	801-61786	Boston Partners Global Investors, Inc.
0000906304-25-000113	194441	0000038777	028-00734			Franklin Resources Inc
0000950123-25-004104	194474		028-16979	000175101	801-81084	Park Avenue Institutional Advisers LLC
0000950123-25-004104	194475		028-10562	000108477	801-56720	Alliance Bernstein
0001759448-25-000003	194406	0001600435	028-18951			Wakefield Asset Management LLLP
0001759448-25-000002	194436	0001600435	028-18951			Wakefield Asset Management LLLP
0001085146-25-002640	194446	0001508822	028-14059	000110933	801-60694	ACR Alpine Capital Research, LLC
0001759448-25-000001	194389		028-18951			Wakefield Asset Management LLLP
0001437749-25-014717	194448	0001132651	028-25350			AMES NATIONAL CORP
0001104659-25-044964	194435	0001000275	028-11396			ROYAL BANK OF CANADA
0000940445-25-000004	194410		028-17729			Empowered Funds, LLC
0001697723-25-000003	194440	0002045703	028-24897	000330428	801-130244	ZEGA Investments, LLC
0001420167-25-000002	194449	0001598841	028-16005			Advisors Preferred, LLC
0001939232-25-000002	194443	0001581811	028-15627	000156384	801-72167	Egerton Capital (UK) LLP
0001954889-25-000021	194439	0001600064	028-19397			Tidal Investments LLC
0001954889-25-000021	194438	0001299351	028-10986			Madison Asset Management, LLC
0000809593-25-000017	194424	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0000809593-25-000017	194425	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0000809593-25-000017	194426	0001633343	028-16538			Ninety One North America, Inc.
0000809593-25-000017	194427	0001365324	028-11946			Numeric Investors LLC
0000809593-25-000017	194428	0001177244	028-10254			SHAPIRO CAPITAL MANAGEMENT LLC
0000809593-25-000017	194429	0000938487	028-04720			SSI INVESTMENT MANAGEMENT LLC
0000809593-25-000017	194430	0001314440	028-11261			Stephens Investment Management Group LLC
0000809593-25-000017	194431	0001259887	028-10665			LONDON CO OF VIRGINIA
0000809593-25-000017	194432	0001061186	028-07104			WCM INVESTMENT MANAGEMENT, LLC
0000809593-25-000017	194433	0000949471	028-05046			WESTWOOD MANAGEMENT CORP /TX
0000809593-25-000017	194411	0001544935	028-14936			abrdn Investments Ltd
0000809593-25-000017	194412	0001598894	028-16037			AHL Partners LLP
0000809593-25-000017	194413	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0000809593-25-000017	194414	0000860644	028-02634			Aristotle Capital Management, LLC
0000809593-25-000017	194415	0001697748	028-17768			ARK Investment Management LLC
0000809593-25-000017	194416	0000313028	028-01006			BARROW HANLEY MEWHINNEY & STRAUSS LLC
0000809593-25-000017	194417	0000829108	028-02204			Brandywine Global Investment Management, LLC
0000809593-25-000017	194418		028-11728			CAUSEWAY CAPITAL MANAGEMENT LLC
0000809593-25-000017	194419	0001008894	028-05268			DEPRINCE RACE & ZOLLO INC
0000809593-25-000017	194420	0001741619	028-18801			EAM Global Investors LLC
0000809593-25-000017	194421	0001325447	028-11953			First Eagle Investment Management, LLC
0000809593-25-000017	194422	0001352261	028-11672			GLG LLC
0000809593-25-000017	194423	0001164833	028-10068			HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC
0001821268-25-000098	194401	0001134283	028-10043	000108954	801-57995	SEIZERT CAPITAL PARTNERS, LLC
0001821268-25-000098	194402	0001716984	028-18598	000286688	801-110032	Slow Capital, Inc.
0001821268-25-000098	194400	0001882572	028-21541	000283540	801-117635	Riverwater Partners LLC
0001821268-25-000098	194397	0001911372	028-22239	000305152	801-117225	Meros Investment Management, LP
0001821268-25-000098	194399	0001230765	028-10467	000125410	801-61905	RICE HALL JAMES & ASSOCIATES, LLC
0001821268-25-000098	194398	0001389574	028-12426	000140159	801-66532	Nicholas Investment Partners, LP
0001821268-25-000098	194390	0001740837	028-19044	000283260	801-113312	AltraVue Capital, LLC
0001821268-25-000098	194396	0001424467	028-12654	000130023	801-62639	Lisanti Capital Growth, LLC
0001821268-25-000098	194395	0000201772	028-00878	000109962	801-55496	ESSEX INVESTMENT MANAGEMENT CO LLC
0001821268-25-000098	194394	0001455468	028-13367	000145666	801-68942	Dean Capital Management
0001821268-25-000098	194393	0001002152	028-05098	000107823	801-32238	COMPASS CAPITAL MANAGEMENT, INC
0001821268-25-000098	194392	0000874791	028-02903	000107003	801-8825	CAMPBELL NEWMAN ASSET MANAGEMENT INC
0001821268-25-000098	194391	0001713521	028-18105	000148828	801-96252	Bridge City Capital, LLC
0001972909-25-000001	194314	0001964189				Auto-Owners Insurance Co
0001964188-25-000004	194378	0001964189				Auto-Owners Insurance Co
0001581771-25-000002	194375	0000873630	028-03140			HSBC HOLDINGS PLC
0001667731-25-000598	194377	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001667731-25-000597	194336	0001009289	028-05392	000117198		CITY NATIONAL ROCHDALE, LLC
0001667731-25-000597	194335	0000350894		000105146		SEI INVESTMENTS CO
0001213900-25-039914	194353	0001143565		000111452	801-60176	RATIONAL ADVISORS, INC.
0001213900-25-039914	194352	0000810695			811-05010	Mutual Fund & Variable Insurance Trust
0001213900-25-039914	194351	0001600064		000164201	801-76857	Tidal Investments LLC
0001667731-25-000595	194316	0001697723	028-17779	000282580	801-107319	AE Wealth Management LLC
0001104659-25-044798	194350	0001731118	028-19626			Bpifrance SA
0002057170-25-000005	194331	0002057170	028-25425			Universal- Beteiligungs- und Servicegesellschaft mbH
0001754960-25-000277	194318	0001459754	028-14310			Wallace Capital Management Inc.
0001085146-25-002614	194356	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001085146-25-002615	194384	0000874779	028-02900			MELLON INVESTMENTS Corp
0001085146-25-002614	194355	0001086619	028-04731			SCHRODER INVESTMENT MANAGEMENT GROUP
0001754960-25-000277	194319	0000720672	028-04621			STIFEL FINANCIAL CORP
0000716187-25-000004	194329	0001281761				REGIONS FINANCIAL CORP
0001941040-25-000258	194334	0001791965	028-19701	000148107	801-79198	Kingsview Wealth Management, LLC
0001941040-25-000258	194333	0001569866	028-25282	000144260	801-121076	GLOBAL VALUE INVESTMENT CORP.
0001941040-25-000258	194332	0001931642	028-22555	000288271	801-119078	Astoria Portfolio Advisors LLC.
0000950123-25-004042	194354		028-15014			Allianz Asset Management GmbH
0000950123-25-004040	194383		028-15014			Allianz Asset Management GmbH
0000950123-25-004038	194322		028-15014			Allianz Asset Management GmbH
0000950123-25-004036	194325		028-15014			Allianz Asset Management GmbH
0000950123-25-004035	194315		028-15014			Allianz Asset Management GmbH
0000950123-25-004029	194321		028-15014			Allianz Asset Management GmbH
0001512779-25-000006	194326	0001895911	028-21764	000315804	801-122468	Paralel Advisors LLC
0000950123-25-004022	194328		028-00399			State Street Corp., on behalf of SSGA Funds Management Inc.
0000950123-25-004022	194327		028-04557			Wellington Management Group LLP, on behalf of Wellington Management Company LLP
0001770133-25-000004	194324	0000039263	028-00183			CULLEN/FROST BANKERS, INC.
0000902882-25-000006	194330					028-12533 Arrow Financial Corporation
0000929638-25-001777	194359	0001542927	028-14926			National Mutual Insurance Federation of Agricultural Cooperatives
0001172661-25-001571	194379	0000354204	028-01186	000106482	801-16283	DIMENSIONAL FUND ADVISORS LP
0001172661-25-001571	194380	0001214639	028-10309	000113609	801-60423	DSM CAPITAL PARTNERS LLC
0001172661-25-001571	194381	0000351173	028-01185	000106274	801-15724	FRONTIER CAPITAL MANAGEMENT CO LLC
0001172661-25-001571	194382	0000829108	028-02204	000110783	801-27797	Brandywine Global Investment Management, LLC
0001379041-25-000100	194357		028-13573			Neuberger Berman Group LLC 
0001085146-25-002602	194358	0001767580	028-20349	000287792	801-110639	Advisor OS, LLC
0001398344-25-008639	194376	0001390777	028-12592			Bank of New York Mellon Corp
0001768723-25-000001	194349	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001768723-25-000001	194348	0001637541	028-16847	000111126	801-51407	XPONANCE, INC.
0001768723-25-000001	194347	0001256909	028-10487	000105780	801-33358	Northern Trust Investments, Inc
0001768723-25-000001	194346	0001234074	028-11833	000106355	801-45884	SPRUCEGROVE INVESTMENT MANAGEMENT LTD
0001768723-25-000001	194345	0001088876	028-04841	000304197	802-116796	BAILLIE GIFFORD & CO LTD
0001768723-25-000001	194344	0000885062	028-03139	000105633	801-19287	BROWN CAPITAL MANAGEMENT LLC
0001768723-25-000001	194342	0001164833	028-10068	000114649	801-60512	HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC
0001768723-25-000001	194341	0000314965	028-00096	000108236	801-60145	CAPITAL GUARDIAN TRUST CO
0001768723-25-000001	194340	0000913414	028-03946	000107105	804-48433	BlackRock Institutional Trust Company, N.A.
0001768723-25-000001	194339	0000902219	028-04557	000106595	801-15908	WELLINGTON MANAGEMENT GROUP LLP
0001768723-25-000001	194338	0001050442	028-06630	000106746	801-53297	DISCIPLINED GROWTH INVESTORS INC /MN
0001768723-25-000001	194337	0001276918	028-10622	000128990	801-62477	ZEVENBERGEN CAPITAL INVESTMENTS LLC
0001768723-25-000001	194343	0001428948	028-13410	000143247	801-67631	Impax Asset Management LTD
0001352022-25-000003	194365	0001164833	028-10068	000114649	801-60512	HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC
0001352022-25-000003	194372	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001352022-25-000003	194371	0001637541	028-16847	000111126	801-51407	XPONANCE, INC.
0001352022-25-000003	194370	0001256909	028-10487	000105780	801-33358	Northern Trust Investments, Inc
0001352022-25-000003	194360	0001276918	028-10622	000128990	801-62477	ZEVENBERGEN CAPITAL INVESTMENTS LLC
0001352022-25-000003	194361	0001050442	028-06630	000106746	801-53297	DISCIPLINED GROWTH INVESTORS INC /MN
0001352022-25-000003	194362	0000902219	028-04557	000106595	801-15908	WELLINGTON MANAGEMENT GROUP LLP
0001352022-25-000003	194363	0000913414	028-03946	000107105	804-48433	BlackRock Institutional Trust Company, N.A.
0001352022-25-000003	194364	0000314965	028-00096	000108236	801-60145	CAPITAL GUARDIAN TRUST CO
0001352022-25-000003	194366	0001428948	028-13410	000143247	801-67631	Impax Asset Management LTD
0001352022-25-000003	194367	0000885062	028-03139	000105633	801-19287	BROWN CAPITAL MANAGEMENT LLC
0001352022-25-000003	194368	0001088876	028-04841	000304197	802-116796	BAILLIE GIFFORD & CO LTD
0001352022-25-000003	194369	0001234074	028-11833	000106355	801-45884	SPRUCEGROVE INVESTMENT MANAGEMENT LTD
0001398344-25-008628	194317	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001843582-25-000003	194373	0001843581	028-20706	000289000	801-110874	Fountainhead AM, LLC
0001993888-25-000013	194323	0001993888				Pictet Asset Management Holding SA
0001993888-25-000012	194374	0001993888				Pictet Asset Management Holding SA
0001993888-25-000011	194320	0001993888				Pictet Asset Management Holding SA
0001993888-25-000010	194263	0001993888				Pictet Asset Management Holding SA
0001993888-25-000009	194235	0001993888				Pictet Asset Management Holding SA
0001993888-25-000008	194288	0001993888				Pictet Asset Management Holding SA
0001625244-25-000007	194239	0001625244	028-16305			C WorldWide Group Holding A/S
0001178913-25-001572	194253	0001415912	028-17312			Migdal Insurance & Financial Holdings Ltd.
0001178913-25-001570	194284	0001415912	028-17312			Migdal Insurance & Financial Holdings Ltd.
0001178913-25-001568	194249	0001415912	028-17312			Migdal Insurance & Financial Holdings Ltd.
0001178913-25-001566	194293	0001415912	028-17312			Migdal Insurance & Financial Holdings Ltd.
0001178913-25-001562	194230	0001599719	028-15914			Mivtachim The Workers Social Insurance Fund Ltd. (Under Special Management)
0001178913-25-001560	194298	0001599719	028-15914			Mivtachim The Workers Social Insurance Fund Ltd. (Under Special Management)
0001085146-25-002576	194274	0001611848	028-16343	000127158	801-62140	BTC Capital Management, Inc.
0001507678-25-000007	194251					RP Management, LLC
0000905148-25-001421	194313	0000913144			001-14428	RENAISSANCERE HOLDINGS LTD
0000905148-25-001420	194254	0000913144			001-14428	RENAISSANCERE HOLDINGS LTD
0000905148-25-001419	194297	0000913144			001-14428	RENAISSANCERE HOLDINGS LTD
0000905148-25-001418	194266	0000913144			001-14428	RENAISSANCERE HOLDINGS LTD
0000905148-25-001417	194283	0000913144			001-14428	RENAISSANCERE HOLDINGS LTD
0001034180-25-000003	194265					Markel Group Inc., File Number 028-06647, CIK 0001096343
0001123292-25-000187	194299	0001096986	028-16485			FLEMING JAMES B JR
0000894189-25-003535	194257		028-21631			Hoya Capital Real Estate, LLC
0000894189-25-003535	194256		028-17717			Penserra Capital Management LLC
0001027796-25-000029	194262	0001692234	028-17598		028-17598	Russell Investments Group, Ltd.
0001437749-25-014292	194244	0001132651	028-25350			AMES NATIONAL CORP
0001440916-25-000002	194289	0000039263				CULLEN/FROST BANKERS, INC.
0001085146-25-002571	194286	0001575301	028-15734	000127583		Beacon Capital Management, Inc.
0001085146-25-002560	194272	0001061186	028-07104			WCM INVESTMENT MANAGEMENT, LLC
0001085146-25-002560	194267	0001350585	028-11563			Coho Partners, Ltd.
0001085146-25-002560	194269	0000885708	028-11405			NUVEEN INVESTMENTS, INC
0001085146-25-002560	194270	0001423442	028-12966			O'SHAUGHNESSY ASSET MANAGEMENT, LLC
0001085146-25-002560	194271	0001034524	028-03687			POLEN CAPITAL MANAGEMENT LLC
0001085146-25-002560	194268	0001456827	028-15019			MITTLEMAN INVESTMENT MANAGEMENT, LLC
0001085146-25-002558	194281	0001482689	028-13662			Evercore Wealth Management, LLC
0001085146-25-002558	194280	0001951586	028-22667			Schechter Investment Advisors, LLC
0001085146-25-002558	194278	0001082491	028-04075			CONDOR CAPITAL MANAGEMENT
0001085146-25-002558	194279	0001845743	028-21103			FIRETHORN WEALTH PARTNERS, LLC
0001441888-25-000002	194242		028-00317			First National Bank of Omaha
0001441888-25-000002	194241		028-22612			First National Advisers
0001576419-25-000900	194264	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000899	194236	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000898	194260	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000897	194258	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000896	194250	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000895	194303	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000894	194240	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000893	194273	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000892	194246	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000891	194255	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000890	194252	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000889	194261	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000888	194291	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000887	194282	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000886	194295	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000885	194247	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000884	194234	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000883	194245	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000882	194277	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000881	194275	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000880	194292	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000879	194243	0002012383	028-24466			BlackRock, Inc.
0002055297-25-000004	194294	0001697723	028-17779	000282580	801-107319	AE Wealth Management LLC
0001576419-25-000878	194238	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000877	194290	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000876	194296	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000875	194259	0002012383	028-24466			BlackRock, Inc.
0001040188-25-000032	194307	0001026710	028-05876			Granahan Investment Management, LLC
0001040188-25-000032	194308	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0001040188-25-000032	194309	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001040188-25-000032	194305	0001608904				SailingStone Capital Partners LLC
0001040188-25-000032	194310	0001256909				Northern Trust Investments, Inc
0001040188-25-000032	194311	0001633863	028-16899			Wellington Management Co LLP
0001040188-25-000032	194306	0001640801	028-16979			Park Avenue Institutional Advisers LLC
0001040188-25-000032	194304	0001233991	028-10477			COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC
0001576419-25-000874	194276	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000873	194237	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000872	194285	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000871	194312	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000870	194287	0002012383	028-24466			BlackRock, Inc.
0001576419-25-000869	194233					RUSSELL FRANK CO
0001576419-25-000869	194232			000109391	801-56370	Nationwide Variable Insurance Trust and Nationwide Fund Advisors
0001576419-25-000869	194231			000109391	801-56370	Nationwide Mutual Funds/Nationwide Fund Advisors
0001801263-25-000005	194302	0001528214	028-14643	000153577	801-71501	Richard Bernstein Advisors LLC
0001801263-25-000005	194301	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001754960-25-000273	194248	0001761755	028-19141	000288576	801-110591	TOWNSQUARE CAPITAL LLC
0001085146-25-002540	194300	0001859918	028-21254	000139713	801-66385	TECTONIC ADVISORS LLC
0001336488-25-000004	194168	0000927971				BANK OF MONTREAL /CAN/
0001667731-25-000576	194169	0001125816	028-06487	000107027		FIRST TRUST ADVISORS LP
0001140361-25-017033	194227	0001000275	028-11396			Royal Bank of Canada
0001673995-25-000004	194185	0001970075				LBP AM SA
0000950123-25-003977	194191		028-13578			Artisan Partners Limited Partnership
0000950123-25-003977	194192		028-04825			Baillie Gifford & Co
0000950123-25-003977	194193		028-24466			BlackRock Inc.
0000950123-25-003977	194194		028-06044			CBRE Investment Management Listed Real Assets LLC
0000950123-25-003977	194195		028-01186			Dimensional Fund Advisors LP
0000950123-25-003977	194196		028-00734			Franklin Resources Inc.
0000950123-25-003977	194197		028-01185			Frontier Capital Management Co LLC
0000950123-25-003977	194198		028-02013			Harris Associates LP
0000950123-25-003977	194199		028-11246			Invesco Ltd.
0000950123-25-003977	194200		028-00074			Jennison Associates LLC
0000950123-25-003977	194201		028-00694			JPMorgan Chase & Co
0000950123-25-003977	194202		028-00398			Loomis Sayles & Co LP
0000950123-25-003977	194203		028-04968			Massachusetts Financial Services Co/MA
0000950123-25-003977	194204		028-00491			Metropolitan Life Insurance Co/NY
0000950123-25-003977	194205		028-03432			Morgan Stanley
0000950123-25-003977	194206		028-13573			Neuberger Berman Group LLC
0000950123-25-003977	194207		028-03042			PanAgora Asset Management Inc
0000950123-25-003977	194208		028-04731			Schroder Investment Management Group
0000950123-25-003977	194209		028-00399			STATE STREET CORP
0000950123-25-003977	194210		028-02494			TCW Group Inc
0000950123-25-003977	194211		028-00115			Price T Rowe Associates Inc/MD
0000950123-25-003977	194212		028-02783			Van Eck Associates Corp
0000950123-25-003977	194213		028-06354			Victory Capital Management Inc
0000950123-25-003977	194214		028-04557			Wellington Management Group LLP
0000950123-25-003977	194215		028-10245			Western Asset Management Company, LLC
0000950123-25-003977	194190		028-21522			Allspring Global Investments Holdings, LLC
0000950123-25-003977	194189		028-15014			Allianz Asset Management GmbH
0000950123-25-003977	194188		028-10562			AllianceBernstein L.P.
0001104659-25-043851	194166	0002000314	028-23442			United Community Bank
0001600216-25-000003	194219		028-03140			HSBC Holdings plc
0001140601-25-000006	194183		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001442898-25-000006	194217		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001443066-25-000006	194182		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001581449-25-000002	194179	0000873630	028-03140			HSBC HOLDINGS PLC
0001694966-25-000006	194187		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001443067-25-000006	194170		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001604671-25-000006	194165		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001442854-25-000006	194164		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0001442857-25-000006	194176		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0000950123-25-003971	194222		028-19510			PGIM Investments LLC
0000950123-25-003971	194221		028-10998			Guidestone Capital Management, LLC
0001140361-25-016980	194224	0001403385	028-17231			Symetra Financial CORP
0001998562-25-000008	194186	0001652044	028-22702			Alphabet Inc.
0001848282-25-000005	194175	0001652044	028-22702			Alphabet Inc.
0001824723-25-000008	194174	0001652044	028-22702			Alphabet Inc.
0001779076-25-000008	194216	0001652044	028-22702			Alphabet Inc.
0001667731-25-000573	194229	0000895421	028-03432			MORGAN STANLEY
0001940173-25-000006	194218	0001652044	028-22702			Alphabet Inc.
0001051615-25-000007	194173	0001462020				Chevy Chase Trust Holdings, LLC
0001051615-25-000005	194181	0001462020				Chevy Chase Trust Holdings, LLC
0000921895-25-001235	194226	0001406672	028-22788			Sherborne Investors Management LP
0000921895-25-001234	194220	0001406672	028-22788			Sherborne Investors Management LP
0000921895-25-001233	194177	0001406672	028-22788			Sherborne Investors Management LP
0001927067-25-000003	194163	0000720005	028-24793		001-09109	RAYMOND JAMES FINANCIAL INC
0001376474-25-000425	194184					- none -
0000869772-25-000085	194223	0000869772	028-02805			SECURITY BENEFIT LIFE INSURANCE CO /KS/
0001140361-25-016854	194172	0002012383	028-24466			BlackRock, Inc.
0001140361-25-016854	194171	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0000950123-25-003957	194167		028-25073			Gallatin Point Capital LLC
0001628280-25-021447	194180		028-05353			 BP PLC
0000950123-25-003955	194228		028-25073			Gallatin Point Capital LLC
0001951586-25-000003	194178	0001167557	028-10120			AQR CAPITAL MANAGEMENT LLC
0000950123-25-003946	194225		028-4274	000106523	801-43897	Mutual of America Capital Management LLC
0002011849-25-000002	194161	0001743404	028-18893	000175083	801-100512	FOUNDATIONS INVESTMENT ADVISORS, LLC
0001092524-25-000002	194153		028-17084			HSBC Holdings PLC
0001221073-25-000043	194129	0001592828	028-17729			Empowered Funds, LLC
0001085146-25-002500	194157	0001418773	028-12635			Robeco Institutional Asset Management B.V.
0001085146-25-002496	194132	0001353099		000167626	801-107723	Aptus Capital, LLC
0001085146-25-002496	194133	0001352187	028-11680	000104796	801-28445	Clark Capital Management Group, Inc.
0001088950-25-000004	194134	0000720005	028-24793		001-09109	RAYMOND JAMES FINANCIAL INC
0001398344-25-008194	194144	0001126328	028-10106			PRINCIPAL FINANCIAL GROUP INC
0001398344-25-008194	194145	0001218333	028-10400	000109008	801-55618	PRINCIPAL REAL ESTATE INVESTORS LLC
0001398344-25-008194	194146	0001027796	028-03791	000106847	801-50838	PZENA INVESTMENT MANAGEMENT LLC
